unique_id_match,toponymName,fclName,commune,province,region,country,MATCH,types_Anne,types_Ettore
24495-1426246-wietersheim,,,,,,Germany,wietersheim,loc,loc
24622-1430906-jerry darnelle,,,,,,,jerry darnelle,per,per
24702-1434592-guignies,Guignies,Section,Celles,Hainaut Province,Wallonia,Belgium,guignies,loc,loc
24836-1438334-alberic dons,,,,,,,alberic dons,per,per
24939-1439726-edouard agneessens,,,,,,,edouard agneessens,per,per
24960-1440475-eulenburg,,,,,,,eulenburg,per,per
25345-1457549-cedergren,,,,,,,cedergren,per,per
25531-1463643-negri belloni,,,,,,,negri belloni,per,per
25561-1463985-jacob salomon,,,,,,,jacob salomon,per,per
25564-1463985-simon rosenthal,,,,,,,simon rosenthal,per,per
25638-1465505-huysmans,,,,,,,huysmans,per,per
25674-1466669-verschaffelt,,,,,,,verschaffelt,per,per
25939-1478406-smet,,,,,,,smet,per,per
25939-1478406-tamise,,,,,,,tamise,loc,loc
26021-1480093-seloignes,Seloignes,Section,Momignies,Hainaut Province,Wallonia,Belgium,seloignes,loc,loc
26080-1481244-lommel,Lommel,Commune,Lommel,Limburg Province,Flanders,Belgium,lommel,loc,loc
26233-1485189-bleharies,Bléharies,Section,Celles,Hainaut Province,Wallonia,Belgium,bleharies,loc,loc
26335-1487793-cador,,,,,,,cador,per,per
26335-1487793-charleroi,,,,,,,charleroi,loc,loc
26353-1488263-mechelen,,,,,,Netherlands,mechelen,loc,loc
26444-1492661-sundberg,,,,,,,sundberg,per,per
26444-1492661-congo,,,,,,,congo,loc,loc
26629-1498206-soumoy,,,,,,,soumoy,per,per
26699-1501354-oost-eeklo,Oosteeklo,Section,Assenede,East Flanders Province,Flanders,Belgium,oost-eeklo,loc,loc
26699-1501354-oost-eeklo,Oosteeklo,Section,Assenede,East Flanders Province,Flanders,Belgium,oost-eeklo,loc,loc
26699-1501354-oost-eeclo,,,,,,,oost-eeclo,loc,loc
26699-1501354-oost-eeclo,,,,,,,oost-eeclo,loc,loc
26699-1501354-oost-eecloo,,,,,,,oost-eecloo,loc,loc
26699-1501354-oost-eecloo,,,,,,,oost-eecloo,loc,loc
26831-1508882-kirsch,,,,,,,kirsch,per,per
26840-1509068-vergauwen,,,,,,,vergauwen,per,per
26858-1509424-vrasene,Vrasene,Section,Beveren,East Flanders Province,Flanders,Belgium,vrasene,loc,loc
26930-1512150-swerts,,,,,,,swerts,per,per
26930-1512150-tessenderl,,,,,,,tessenderl,loc,loc
27021-1516383-commadant soleil,,,,,,,commadant soleil,per,per
27355-1525318-leopold iii,,,,,,,leopold iii,per,per
27361-1525475-xavier debouge,,,,,,,xavier debouge,per,per
27757-1536141-jules simon,,,,,,,jules simon,per,per
27757-1536141-charles hugo,,,,,,,charles hugo,per,per
27777-1537217-ysaye,,,,,,,ysaye,per,per
28020-1545481-pole nord,,,,,,Continent,pole nord,loc,loc
28205-1549989-geleeds,,,,,,,geleeds,per,per_ambig
28304-1556748-neeckx,,,,,,,neeckx,per,per
28352-1558172-van de boogaert,,,,,,,van de boogaert,per,per
28542-1564501-borren,,,,,,,borren,per,per
28575-1565878-chapelle a la lice,Chapelle-à-Wattines,Section,Leuze-en-Hainaut,Hainaut Province,Wallonia,Belgium,chapelle a la lice,loc,loc
28581-1565898-sempst,Zemst,Commune,Zemst,Flemish Brabant Province,Flanders,Belgium,sempst,loc,loc
28644-1567633-antoine swisser,,,,,,,antoine swisser,per,per
28657-1567633-schaerbeek,Schaerbeek,Section,Schaarbeek,Bruxelles-Capitale,Brussels Capital,Belgium,schaerbeek,loc,loc
28657-1567633-meyers,,,,,,,meyers,per,per
28691-1568070-caters,,,,,,,caters,per,per_ambig
28840-1571001-kjelstrup,,,,,,,kjelstrup,per,per
29215-1581678-armen ohanian,,,,,,,armen ohanian,per,per
29580-1590181-gieseking,,,,,,,gieseking,per,per
29675-1590593-ysaye,,,,,,,ysaye,per,per
29842-1592950-congo,,,,,,Democratic Republic of the Congo,congo,loc,loc
29916-1593431-congo,,,,,,Democratic Republic of the Congo,congo,loc,loc
29916-1593431-leopold ii,,,,,,,leopold ii,per,per
30068-1597358-de seille,,,,,,,de seille,per,per
30214-1601749-johannes van der ven,,,,,,,johannes van der ven,per,per
30430-1608551-zedelgem,Zedelgem,Commune,Zedelgem,West Flanders Province,Flanders,Belgium,zedelgem,loc,loc
30511-1611245-toots gilde,,,,,,,toots gilde,,per_ambig
30642-1613949-libotte,,,,,,,libotte,per,per
30712-1615148-salkin,,,,,,,salkin,per,per
30755-1616647-henri conscience,,,,,,,henri conscience,per,per
30783-1616724-ledrut,,,,,,,ledrut,per,per
30783-1616724-schrader,,,,,,,schrader,per,per
31049-1621886-béliard fletcher,,,,,,,béliard fletcher,per,per
31326-1631308-lyon,,,,,,France,lyon,loc,loc
31326-1631308-haverland,,,,,,,haverland,per,per_loc
31510-1636974-diels,,,,,,,diels,per,per
31555-1637808-alphonse landa,,,,,,,alphonse landa,per,per
,,,,,,,,loc,loc
31841-1644491-tourguenief,,,,,,,tourguenief,per,per
31847-1644522-gerlache,,,,,,,gerlache,per,per
32028-1650072-allard,,,,,,,allard,per,per
32028-1650072-bruxelles,,,,,,,bruxelles,loc,loc
32144-1652801-moerkerke,Moerkerke,Section,Damme,West Flanders Province,Flanders,Belgium,moerkerke,loc,loc
32504-1659257-ferrer,,,,,,,ferrer,per,per
32639-1662194-notarbartolo,,,,,,,notarbartolo,per,per
32694-1664020-ghiot,,,,,,,ghiot,per,per
