Column 1,viaf,wikidata,Column 2
Alfred Dreyfus,Alfred Dreyfus,Alfred Dreyfus,1
Alfred Dupuis,,,2
Alfred Emmanuel De Croy,,,1
Alfred Fasbender,,,2
Alfred Giron,Alfred Giron,,2
Alfred Glineur,,,1
Alfred Goemaere,Alfred Goemaere,,2
Alfred Goethals,,,2
Alfred Guinotte,,,1
Alfred Gustav Stanislas,,,1
Alfred Heron,,,1
Alfred Hess,,Alfred Hess,1
Alfred Holst,Alfred Holst,,1
Alfred Hoyas,,,2
Alfred Hubert,,Alfred Hubert,3
Alfred Jarry,Alfred Jarry,Alfred Jarry,1
Alfred Kreglinger,,,1
Alfred Lamotte,,,1
Alfred Leblanc,Alfred Leblanc,Alfred Leblanc,1
Alfred Lhoir,,,1
Alfred Meert,,,1
Alfred Moitroux,Alfred Moitroux,,1
Alfred Nagelmaekers,,,2
Alfredo Rossi,,Alfredo Rossi,1
Alfred Pierart,,,1
Alfred Regnard,,,1
Alfred Renson,,,1
Alfred Ruytinckx,,Alfred Ruytinckx,4
Alfred Simonart,,,2
Alfred Titeca,,,1
Alfred Tobias,,,2
Alfred Warny,,,1
Alfried Delaet,Alfried Delaet,,1
Alfried Goethals,,,1
Alfried Laet,Alfried Laet,,2
Ali Autome,,,1
Alice Bron,Alice Bron,,7
Alice Buys,,,1
Alice Damme,,,1
Alice Epouse,,,1
Alice Fasbender,,,2
Alice Fontaine,,,13
Alice Godenir,,,2
Alice Lehaene,Alice Lehaene,,1
Alice Orban,,,3
Alice Schulpen,,,1
Alice Tolkovski,,,1
Alice Tolkovsky,,,1
Alice Van Damme,Alice Van Damme,,2
Alida,,,1
Alida Archangel,,,1
Alida Bert,,,2
Alida Degroote,,,1
Alida Dehaan,,,1
Alida Deschamps,,,1
Ali Klissura,Ali Klissura,Ali Klissura,1
Aline Dupont,Aline Dupont,,1
Aline Lambele,,,1
Aline Mondron,,,1
Aline Renneville,Aline Renneville,Aline Renneville,2
Aline Rosart,,,1
Alise Fagnart,,,1
Allaert Morel,,,1
Allah Risk,,,2
Allard Cafe,,,1
Allard Camille,Allard Camille,Allard Camille,2
Allard Corot,,,1
Allard Cyclismegarde,,,1
Allard Cyclist,,,1
Allard Cyclistgarde,,,1
Allard Leonce,Allard Leonce,,2
Allard Osswald,,,1
Allard Royal,Allard Royal,,2
Allard Royalgarde,,,1
Allen And,,,1
Allen Hopkins,,Allen Hopkins,1
Allen Voor,,,2
Alliance Anticlericale,,,2
Alliance Anticlericaux,,,2
Alliance Liberale,,,1
Alliance Salle,,,1
