QID,link,label,countCountries,countPersons
Q10576459,https://www.wikidata.org/wiki/Q10576459,Manne,2,4
Q1057813,https://www.wikidata.org/wiki/Q1057813,Cevat,3,14
Q10578719,https://www.wikidata.org/wiki/Q10578719,Maximiliana,1,1
Q10580050,https://www.wikidata.org/wiki/Q10580050,Meja,1,1
Q10581087,https://www.wikidata.org/wiki/Q10581087,Melika,2,2
Q10586146,https://www.wikidata.org/wiki/Q10586146,Mireille,8,55
Q10586583,https://www.wikidata.org/wiki/Q10586583,Mitra,2,5
Q10587130,https://www.wikidata.org/wiki/Q10587130,Moa,2,9
Q1058731,https://www.wikidata.org/wiki/Q1058731,Morgan,15,198
Q10587498,https://www.wikidata.org/wiki/Q10587498,Mohsen,7,73
Q1058951,https://www.wikidata.org/wiki/Q1058951,Haim,3,4
Q10593222,https://www.wikidata.org/wiki/Q10593222,Märit,1,1
Q10594424,https://www.wikidata.org/wiki/Q10594424,Nanny,4,5
Q10594701,https://www.wikidata.org/wiki/Q10594701,Nasrin,2,5
Q10595939,https://www.wikidata.org/wiki/Q10595939,Nemer,2,2
Q1060065,https://www.wikidata.org/wiki/Q1060065,Thaïs,1,2
Q10602264,https://www.wikidata.org/wiki/Q10602264,Nore,1,1
Q10608165,https://www.wikidata.org/wiki/Q10608165,Olaus,5,11
Q1061262,https://www.wikidata.org/wiki/Q1061262,Ruby,16,74
Q10622039,https://www.wikidata.org/wiki/Q10622039,Peder,6,86
Q10622390,https://www.wikidata.org/wiki/Q10622390,Pelle,5,26
Q10625184,https://www.wikidata.org/wiki/Q10625184,Petri,4,65
Q10638257,https://www.wikidata.org/wiki/Q10638257,Povel,2,3
Q10648507,https://www.wikidata.org/wiki/Q10648507,Raed,5,6
Q1064920,https://www.wikidata.org/wiki/Q1064920,Melanie,20,185
Q10650636,https://www.wikidata.org/wiki/Q10650636,Reine,6,10
Q10655899,https://www.wikidata.org/wiki/Q10655899,Ritva,1,9
Q1065625,https://www.wikidata.org/wiki/Q1065625,Bogdan,14,261
Q10656415,https://www.wikidata.org/wiki/Q10656415,Roine,2,3
Q10657078,https://www.wikidata.org/wiki/Q10657078,Rosinha,1,2
Q10657119,https://www.wikidata.org/wiki/Q10657119,Rosmarie,4,11
Q10661288,https://www.wikidata.org/wiki/Q10661288,Sanela,1,2
Q1066178,https://www.wikidata.org/wiki/Q1066178,Aurora,23,78
Q10666489,https://www.wikidata.org/wiki/Q10666489,Set,3,3
Q10666941,https://www.wikidata.org/wiki/Q10666941,Shadi,7,11
Q1066712,https://www.wikidata.org/wiki/Q1066712,Xavier,37,652
Q10667540,https://www.wikidata.org/wiki/Q10667540,Sigge,1,9
Q10667549,https://www.wikidata.org/wiki/Q10667549,Sigismund,15,73
Q10667656,https://www.wikidata.org/wiki/Q10667656,Signhild,1,1
Q1067002,https://www.wikidata.org/wiki/Q1067002,Dália,15,28
Q1067071,https://www.wikidata.org/wiki/Q1067071,Charlotta,3,10
Q10673707,https://www.wikidata.org/wiki/Q10673707,Sonny,17,134
Q10674037,https://www.wikidata.org/wiki/Q10674037,Soroush,1,3
Q1068231,https://www.wikidata.org/wiki/Q1068231,Marcella,12,52
Q1068242,https://www.wikidata.org/wiki/Q1068242,Valerie,24,132
Q10682783,https://www.wikidata.org/wiki/Q10682783,Styrbjörn,1,1
Q10683589,https://www.wikidata.org/wiki/Q10683589,Sumaya,2,2
Q1068487,https://www.wikidata.org/wiki/Q1068487,Roland,58,999
Q1068568,https://www.wikidata.org/wiki/Q1068568,Chay,6,8
Q1068584,https://www.wikidata.org/wiki/Q1068584,Chaz,4,16
Q10686817,https://www.wikidata.org/wiki/Q10686817,Sylvia,35,242
Q10687769,https://www.wikidata.org/wiki/Q10687769,Syster,1,1
Q1069106,https://www.wikidata.org/wiki/Q1069106,Chelsea,6,53
Q1069139,https://www.wikidata.org/wiki/Q1069139,Romeo,27,75
Q10697865,https://www.wikidata.org/wiki/Q10697865,Tilda,2,2
Q1069827,https://www.wikidata.org/wiki/Q1069827,Rosario,18,159
Q10699292,https://www.wikidata.org/wiki/Q10699292,Toke,3,3
Q10700660,https://www.wikidata.org/wiki/Q10700660,Tova,4,4
Q1070432,https://www.wikidata.org/wiki/Q1070432,Cherubino,2,8
Q1070506,https://www.wikidata.org/wiki/Q1070506,Cheryl,9,87
Q10706999,https://www.wikidata.org/wiki/Q10706999,Tyke,1,1
Q10712229,https://www.wikidata.org/wiki/Q10712229,Valfrid,2,6
Q10713619,https://www.wikidata.org/wiki/Q10713619,Vega,4,4
Q1071401,https://www.wikidata.org/wiki/Q1071401,Cheyenne,4,12
Q10714568,https://www.wikidata.org/wiki/Q10714568,Vesa,2,26
Q10715391,https://www.wikidata.org/wiki/Q10715391,Vilgot,1,3
Q10715593,https://www.wikidata.org/wiki/Q10715593,Vilmar,1,2
Q10719215,https://www.wikidata.org/wiki/Q10719215,Walo,2,6
Q10723486,https://www.wikidata.org/wiki/Q10723486,Yelda,1,1
Q10723565,https://www.wikidata.org/wiki/Q10723565,Yllka,2,2
Q10723768,https://www.wikidata.org/wiki/Q10723768,Yrsa,2,2
Q10725518,https://www.wikidata.org/wiki/Q10725518,Zübeyde,1,1
Q10729121,https://www.wikidata.org/wiki/Q10729121,Alaia,1,1
Q1072980,https://www.wikidata.org/wiki/Q1072980,Albina,12,19
Q1073772,https://www.wikidata.org/wiki/Q1073772,Baltazar,2,2
Q10740197,https://www.wikidata.org/wiki/Q10740197,Antypas,2,3
Q1074232,https://www.wikidata.org/wiki/Q1074232,Ottilie,8,37
Q1076652,https://www.wikidata.org/wiki/Q1076652,Leopold,29,797
Q1076681,https://www.wikidata.org/wiki/Q1076681,Milan,25,726
Q1077181,https://www.wikidata.org/wiki/Q1077181,Elsa,40,219
Q1077956,https://www.wikidata.org/wiki/Q1077956,Christ,1,1
Q1078264,https://www.wikidata.org/wiki/Q1078264,Christel,12,75
Q10783870,https://www.wikidata.org/wiki/Q10783870,Maël,1,2
Q1078504,https://www.wikidata.org/wiki/Q1078504,Christer,5,64
Q10796644,https://www.wikidata.org/wiki/Q10796644,Kalina,2,2
Q10829623,https://www.wikidata.org/wiki/Q10829623,Sigfred,1,1
Q1083457,https://www.wikidata.org/wiki/Q1083457,Christina,43,366
Q1084384,https://www.wikidata.org/wiki/Q1084384,Christoffer,7,52
Q1084472,https://www.wikidata.org/wiki/Q1084472,Christopher,67,1326
Q10856396,https://www.wikidata.org/wiki/Q10856396,Tero,2,24
Q10857387,https://www.wikidata.org/wiki/Q10857387,Zbyněk,2,42
Q10857427,https://www.wikidata.org/wiki/Q10857427,Zbyšek,1,2
Q10861063,https://www.wikidata.org/wiki/Q10861063,Cyrus,10,94
Q10861276,https://www.wikidata.org/wiki/Q10861276,Saida,4,4
Q10862457,https://www.wikidata.org/wiki/Q10862457,Ruggero,4,27
Q10862518,https://www.wikidata.org/wiki/Q10862518,Mateusz,6,113
Q10862524,https://www.wikidata.org/wiki/Q10862524,Juana,22,85
Q108631,https://www.wikidata.org/wiki/Q108631,Katherine,30,272
Q1087262,https://www.wikidata.org/wiki/Q1087262,Ursula,27,424
Q10880598,https://www.wikidata.org/wiki/Q10880598,Matteo,16,428
Q1089094,https://www.wikidata.org/wiki/Q1089094,Joyce,25,170
Q1091889,https://www.wikidata.org/wiki/Q1091889,Franjo,9,68
Q1091961,https://www.wikidata.org/wiki/Q1091961,Cillian,2,7
Q10927061,https://www.wikidata.org/wiki/Q10927061,Patrice,20,226
Q1093061,https://www.wikidata.org/wiki/Q1093061,Ciro,13,91
Q1094218,https://www.wikidata.org/wiki/Q1094218,Rita,56,333
Q1094239,https://www.wikidata.org/wiki/Q1094239,Belinda,15,55
Q10944157,https://www.wikidata.org/wiki/Q10944157,Jurij,23,430
Q1094558,https://www.wikidata.org/wiki/Q1094558,Ciwan,1,1
Q1094751,https://www.wikidata.org/wiki/Q1094751,Claire,25,333
Q1094886,https://www.wikidata.org/wiki/Q1094886,Clamor,1,1
Q10951228,https://www.wikidata.org/wiki/Q10951228,Romualdo,9,32
Q10954134,https://www.wikidata.org/wiki/Q10954134,Josip,12,244
Q1095609,https://www.wikidata.org/wiki/Q1095609,Ibolya,2,25
Q10956733,https://www.wikidata.org/wiki/Q10956733,Daichi,1,42
Q1096053,https://www.wikidata.org/wiki/Q1096053,Daniela,41,383
Q1096368,https://www.wikidata.org/wiki/Q1096368,Ilka,8,26
Q1096462,https://www.wikidata.org/wiki/Q1096462,Ilja,14,118
Q1096551,https://www.wikidata.org/wiki/Q1096551,Beatrix,15,63
Q1096615,https://www.wikidata.org/wiki/Q1096615,Imelda,9,18
