,persons_names,isName
366,Jean Henri,Possible nom
367,Jean Henri Bellefroid,Possible nom
368,Jules Michel,Possible nom
369,Marcus Michel,Possible nom
370,Charles Renard,Possible nom
371,Pierre Heinderson,Possible nom
372,Jacob Jongen,Possible nom
373,Alber Sohie,Possible nom
374,Albert Bohie,Possible nom
375,Albert Dohie,Possible nom
376,Albert Rohie,Possible nom
377,Albert So,Possible nom
378,Bert Sohie,Possible nom
379,Justine Bert,Possible nom
380,Marie Therese Bert,Possible nom
381,Marin Sous,Possible nom
382,Gustave Lesenne,Possible nom
383,Pierre Lesenne,Possible nom
384,Charles Lamquet,Possible nom
385,Victor Hugo,Possible nom
386,Charlotte Bronte,Possible nom
387,Charlotte Bronti,Possible nom
388,Bell Curer,Improbable
389,Bell Currer,Possible nom
390,Jane Eyre,Possible nom
391,Bell Hetzel,Possible nom
392,Bronte Hetzel,Possible nom
393,Henri Bourguignon,Possible nom
394,Henri Chambige,Possible nom
395,Albert Watrin,Possible nom
396,Marie Watrin,Possible nom
397,Florimond Cailli,Possible nom
398,Emma Cassimon,Possible nom
399,Real Madrid,Possible nom
400,Michel Opticien,Improbable
401,Mathieu Selderslagh,Possible nom
402,Laurel Hardy,Possible nom
403,Eusebe Erebe,Possible nom
404,Eugene Erebe,Possible nom
405,Henri Robin,Possible nom
406,Robin Soiree,Possible nom
407,Prudence Depaepe,Possible nom
408,Jetje Bremer,Possible nom
409,Josephus Marinus Jansen,Possible nom
410,Blue Le Petit,Possible nom
411,Marinus Jansen,Possible nom
412,Saria Dorza,Possible nom
413,Alphonse Nuzet,Possible nom
414,Jacques Pollaer,Possible nom
415,Joseph Deferm,Possible nom
416,Lodewijk Schoepen,Possible nom
417,Martel Taeye,Possible nom
418,Martel Poitiers,Possible nom
419,Omer Guillemain,Possible nom
420,Omer Les,Possible nom
421,Stevens Huybrechts,Possible nom
422,David Oyens,Possible nom
423,Karl Taeye,Possible nom
424,Karl Martel,Possible nom
425,Martel Musee,Possible nom
426,Collin Restaurant,Improbable
427,Ernest Coureur,Possible nom
428,Ernst Coureur,Possible nom
429,Theodore Hannon,Possible nom
430,James Ensor,Possible nom
431,Pierre Schaeffer,Possible nom
432,Robert Pieters,Possible nom
433,Rodolphe Archiduc,Improbable
434,Pierre Bonaparte,Possible nom
435,Roland Bonaparte,Possible nom
436,Henri Dutz,Possible nom
437,Leon Grewel,Possible nom
438,Antoine Maroquin,Possible nom
439,Liga Lagye,Possible nom
440,Rene Vandendries,Possible nom
441,Yvonne De Ligne,Possible nom
442,Yvonne Geurts,Possible nom
443,Alfred Tobias,Possible nom
444,Max Tobias,Possible nom
445,Georges Roussel,Possible nom
446,Albertus Braet,Possible nom
447,Felix De Merode,Possible nom
448,Henri Kaisler,Possible nom
449,Willem Van De Putte,Possible nom
450,Conte Du Roisin,Possible nom
451,Valence A,Possible nom
452,Valence Et,Possible nom
453,Jeanne Bodson,Possible nom
454,Joseph Hubert,Possible nom
455,Leon Lepage,Possible nom
456,Ignace Landy,Possible nom
457,Jaak Kryn,Possible nom
458,Gustave Lagye,Possible nom
459,Carola Ernst,Possible nom
460,Rimbaud Vert,Possible nom
461,Willy Ernst,Possible nom
462,Raoul Lahy,Possible nom
463,Lewis Et,Possible nom
464,Lewis Marks,Possible nom
465,Diamond Branch,Possible nom
466,Sammy Marks,Possible nom
467,Willy Balasse,Possible nom
468,Leo Moulin,Possible nom
469,Max Tom,Possible nom
470,Victor Lagye,Possible nom
471,Victor Gustave Lagye,Possible nom
472,Jeanne D,Possible nom
473,Aime Hutt,Possible nom
474,Armand Steurs,Possible nom
475,Siva Freres,Possible nom
476,Rudolf Diesel,Possible nom
477,Achille De Baets,Possible nom
478,Achilles De Baets,Possible nom
479,Emma Vandenhoeck,Possible nom
480,Emma Van Den Hoeck,Possible nom
481,Madeleine Vandenhoeck,Possible nom
