visitID,Column,unique_id,query_normalised,query_tokens
2683899,65962,65962-2683899,michaux,1
2683923,65964,65964-2683923,china,1
2683970,65965,65965-2683970,tredez,1
2684221,65966,65966-2684221,familie snoek,2
2684221,65967,65967-2684221,van der steen,3
2684221,65968,65968-2684221,vandersteen,1
2684288,65969,65969-2684288,alken gilde bioscoop,3
2684288,65970,65970-2684288,alken gilde cinema,3
2684530,65971,65971-2684530,robert van zeebroeck,3
2684543,65972,65972-2684543,baugnee,1
2684543,65974,65974-2684543,ben ahin baugnee,3
2684543,65973,65973-2684543,ben ahin,2
2684543,65975,65975-2684543,necrologie,1
2684830,65978,65978-2684830,muziek soldaten,2
2684830,65976,65976-2684830,muziek,1
2684830,65977,65977-2684830,muziek leger,2
2684868,65979,65979-2684868,tredez,1
2685287,65980,65980-2685287,liezele,1
2685305,65982,65982-2685305,angleur vallon,2
2685305,65983,65983-2685305,ligney,1
2685305,65981,65981-2685305,angleur,1
2685305,65984,65984-2685305,lomprez,1
2685305,65985,65985-2685305,noduwez,1
2685329,65986,65986-2685329,kolonie wortel,2
2685900,65989,65989-2685900,charles torrens,2
2685900,65993,65993-2685900,consul de belgique à tarragone,5
2685900,65995,65995-2685900,de belgique à barcelone,4
2685900,65996,65996-2685900,emmanuel torrens,2
2685900,65997,65997-2685900,fernando puig,2
2685900,65998,65998-2685900,puig,1
2685900,65999,65999-2685900,tarragone,1
2685900,66000,66000-2685900,torrens,1
2685900,65987,65987-2685900,barcelona,1
2685900,65988,65988-2685900,barcelone,1
2685900,65990,65990-2685900,charles torrens torrens,3
2685900,65994,65994-2685900,consulat de belgique à barcelone,5
2685900,65991,65991-2685900,consul de belgique,3
2685900,65992,65992-2685900,consul de belgique à barcelone,5
2685900,66001,66001-2685900,torrens (emmanuel),2
2685935,66002,66002-2685935,moresnet,1
2686124,66003,66003-2686124,auto-garage,1
2686127,66004,66004-2686127,cirque,1
2686192,66005,66005-2686192,africaanse karavaan,2
2686192,66006,66006-2686192,caravan africain,2
2686192,66007,66007-2686192,caravan negre,2
2686192,66008,66008-2686192,karavaan,1
2686192,66010,66010-2686192,schuli-karavaan,1
2686192,66011,66011-2686192,schuli-negerkaravaan,1
2686192,66012,66012-2686192,schuli-troep,1
2686192,66013,66013-2686192,togo-karavaan,1
2686192,66009,66009-2686192,negerkaravaan,1
2686410,66016,66016-2686410,fernando,1
2686410,66014,66014-2686410,cirk,1
2686410,66015,66015-2686410,cirque,1
2686410,66017,66017-2686410,plege,1
2686454,66018,66018-2686454,moresnet,1
2686496,66019,66019-2686496,charlotte,1
2686631,66020,66020-2686631,edmond picard,2
2686805,66021,66021-2686805,bassilly,1
2686805,66022,66022-2686805,faits divers,2
2686805,66023,66023-2686805,hellebecq,1
2686839,66024,66024-2686839,garde civique de forest,4
2686839,66026,66026-2686839,garde civique de hamme,4
2686839,66027,66027-2686839,garde civique de koekelberg,4
2686839,66029,66029-2686839,garde civique forest,3
