,Nom,Employeur,Poste,Rémunéré?,nombreRemuneres,NombreMandats,langue,début,fin,extract_lieux_be
222,,,Fonctionnaire,Rémunéré,,,FR,,,
223,,BABEL 2000 - Tremplin asbl,Administrateur,Non rémunéré,,,FR,,,
224,,COMENSIA,Administrateur,Rémunéré,,,FR,,,
225,Adriaens Marc,,,,2.0,2.0,NL,,,
226,,Halen (Stad),Gemeenteraadslid,Rémunéré,,,NL,,,halen
227,,Opdrachthoudende Vereniging Schulens Meer (OSM),Bestuurder,Rémunéré,,,NL,,,meer
228,Adriaens Pascale,,,,5.0,6.0,NL,,,
229,,Zwalm (Gemeente),Ocmw-voorzitter,Rémunéré,,,NL,,,zwalm
230,,Zwalm (Gemeente),Schepen,Non rémunéré,,,NL,,,zwalm
231,,,Bediende,Rémunéré,,,NL,,,
232,,SEVA,Lid Beheerscomité,Rémunéré,,,NL,,,
233,,SHM Vlaamse Ardennen,Bestuurder,Rémunéré,,,NL,,,
234,,Solva GIDPBW,Lid Beheerscomité,Rémunéré,,,NL,,,
235,Adriaens Wim,,,,3.0,7.0,NL,,,
236,,Opera voor Vlaanderen (OVV),Vereffenaar,Rémunéré,,,NL,,,
237,,"Vlaamse Regering. Werk, Economie, Innovatie en Sport",Kabinetschef,Rémunéré,,,NL,01/06/2016,,
238,,EFRO Toezichtscomité,Voorzitter,Non rémunéré,,,NL,,,
239,,Interministerieel Comité voor de Distributie,Voorzitter,Non rémunéré,,,NL,,23/09/2016,
240,,Fisch VZW,Bestuurder,Non rémunéré,,,NL,,,
241,,Fisch VZW,Lid Van Het Dagelijks Bestuur,Non rémunéré,,,NL,,,
242,,Viapass,Bestuurder,Rémunéré,,,NL,,,
243,Adriaensen Karolien,,,,9.0,10.0,NL,,,
244,,Retie (Gemeente),Gemeenteraadslid,Rémunéré,,,NL,,,retie
245,,PIDPA (Intercommunale),Bestuurder,Rémunéré,,,NL,,,
246,,Strategische Adviesraad voor Landbouw en Visserij,Lid,Rémunéré,,,NL,,,
247,,Politiezone Kempen Noord-Oost,Lid Van De Politieraad,Rémunéré,,,NL,,,
248,,Ruilverkaveling Rijkevorsel-Wortel,Lid Van De Coördinatiecommissie,Rémunéré,,,NL,,,rijkevorsel||wortel
249,,KVLV-Agra,Nationaal Bestuurslid,Rémunéré,,,NL,,,
250,,Nieuw Retie (Politieke partij),Fractievoorzitter,Non rémunéré,,,NL,,,retie
251,,Boerenbond,Provinciaal Bestuurslid,Rémunéré,,,NL,,,
252,,Dierengezondheidszorg Vlaanderen VZW,Lid Van Een Adviescommissie,Rémunéré,,,NL,,,
253,,,Meewerkende Echtgenote,Rémunéré,,,NL,,,
254,Adriaensen Sumati,,,,1.0,1.0,NL,,,
255,,Kasterlee (Gemeente),Schepen,Rémunéré,,,NL,,,kasterlee
256,Adriaenssen Ludo,,,,4.0,4.0,NL,,,
257,,Vorselaar (Gemeente),Gemeenteraadslid,Rémunéré,,,NL,,,vorselaar
258,,IOK Afvalbeheer,Bestuurder (raadgevende Stem),Rémunéré,,,NL,16/02/2016,,
259,,IOK Dienstverlening,Bestuurder,Rémunéré,,,NL,16/02/2016,,
260,,Dia-Log BVBA,Vennoot - Beheerder,Rémunéré,,,NL,,,
261,Aelgoet ean-Michel,,,,4.0,6.0,FR,,,
262,,Froidchapelle (Commune de),Echevin,Rémunéré,,,FR,11/01/2016,,froidchapelle
263,,Association Intercommunale d'Electricité du Sud du Hainaut,Administrateur,Rémunéré,,,FR,,,
264,,Association Intercommunale d'Electricité du Sud du Hainaut,Membre Du Comité De Gestion,Rémunéré,,,FR,,,
265,,Association Intercommunale Mixte de l' Abattoir de Chimay,Administrateur,Non rémunéré,,,FR,,30/06/2016,chimay
