ID,nom_officiel,noms,Column 1 5,Column 1 6,Column 1 7,Column 1 8,Column 1 9,Column 1 10,Column 1 11,Column 1 12,Column 1 13,Column 1 14,Column 1 15,Column 1 16,Column 1 17,Column 1 18,Column 1 19
2788151,Ressaix,Ressaix,50.41235,4.16596,P,PPL,BE,,WAL,WHT,56,56011,0,,92,Europe/Brussels,2009-01-18
2788153,Respelle,"Respelle,Respelt",49.88363,5.47206,P,PPL,BE,,WAL,WLX,84,84043,0,,445,Europe/Brussels,2017-03-25
2788154,Respaille,Respaille,50.6,4.8,P,PPL,BE,,WAL,WNA,92,92035,0,,161,Europe/Brussels,2017-03-25
2788155,Resimont,"Resimont,Résimont",50.40658,5.19492,P,PPL,BE,,WAL,WNA,92,92097,0,,294,Europe/Brussels,2017-03-25
2788156,Repstraat,Repstraat,50.76667,3.85,P,PPL,BE,,VLG,VOV,41,41018,0,,23,Europe/Brussels,2016-08-02
2788157,Reppel,Reppel,51.15405,5.5624,P,PPL,BE,,VLG,VLI,72,72003,0,,45,Europe/Brussels,2012-02-02
2788159,Reppe,Reppe,50.50089,5.11747,P,PPL,BE,,WAL,WNA,92,92003,0,,73,Europe/Brussels,2017-03-25
2788160,Reppe,Reppe,50.42674,5.09162,P,PPL,BE,,WAL,WNA,92,92097,0,,267,Europe/Brussels,2017-03-25
2788161,Renuamont,Renuamont,50.01816,5.58756,P,PPL,BE,,WAL,WLX,82,82038,0,,463,Europe/Brussels,2017-03-25
2788162,Renowelz,Renowelz,50.65975,3.68141,P,PPL,BE,,WAL,WHT,51,51004,0,,104,Europe/Brussels,2017-03-25
2788163,Renouprez,"Renoupré,Renoupre,Renouprez",50.67391,5.82721,P,PPL,BE,,WAL,WLG,63,63035,0,,218,Europe/Brussels,2017-03-25
2788164,Renoupre,"Renoupré,Renoupre",50.60541,5.88799,P,PPL,BE,,WAL,WLG,63,63020,0,,184,Europe/Brussels,2017-03-25
2788165,Renory,Renory,50.60351,5.55886,P,PPL,BE,,WAL,WLG,62,62063,0,,85,Europe/Brussels,2017-03-25
