ID,name,toponymName,adminName4,adminName2,adminName1,lat,lng,type
2803345,Adijk,Adijk,Lierde,East Flanders Province,Flanders,50.81667,3.81667,Section/lieu-dit
2803343,Adinkerke,Adinkerke,De Panne,West Flanders Province,Flanders,51.07409,2.59914,Section/lieu-dit
2803342,Adseux,Adseux,Sprimont,Liège Province,Wallonia,50.52205,5.73298,Section/lieu-dit
2803454,Aelbeke,Aalbeke,Kortrijk,West Flanders Province,Flanders,50.77848,3.22952,Section/lieu-dit
2803449,Aelst,Mielen-boven-Aalst,Gingelom,Limburg Province,Flanders,50.75644,5.21421,Section/lieu-dit
2803442,Aeltebey,Aalterbei,Aalter,East Flanders Province,Flanders,51.1,3.5,Section/lieu-dit
2803443,Aeltre,Aalter,Aalter,East Flanders Province,Flanders,51.09017,3.44693,Commune
2803441,Aeltrebrugge,Aalterburg,Aalter,East Flanders Province,Flanders,51.1093,3.43378,Section/lieu-dit
2803434,Aerd-Appelhoek,Aardappelhoek,Roeselare,West Flanders Province,Flanders,50.95255,3.15531,Section/lieu-dit
2803252,a er fu ling e mu,Alveringem,Alveringem,West Flanders Province,Flanders,51.01238,2.71117,Commune
2803431,Aerle,Aarle,Ravels,Antwerp Province,Flanders,51.47759,5.01951,Section/lieu-dit
2803073,a er long,Arlon,Arlon,Luxembourg Province,Wallonia,49.68333,5.81667,Commune
2803429,Aerschot,Aarschot,Aarschot,Flemish Brabant Province,Flanders,50.98715,4.83695,Commune
2803427,Aerseele,Aarsele,Tielt,West Flanders Province,Flanders,50.99663,3.41954,Section/lieu-dit
2803429,a er si huo te,Aarschot,Aarschot,Flemish Brabant Province,Flanders,50.98715,4.83695,Commune
2803443,a er te,Aalst,Aalst,East Flanders Province,Flanders,50.93604,4.0355,Commune
2803420,Aertselaer,Aartselaar,Aartselaar,Antwerp Province,Flanders,51.13412,4.38678,Commune
2803341,A Faihay,À Faihay,Rendeux,Luxembourg Province,Wallonia,50.22127,5.50583,Section/lieu-dit
2803341,À Faihay,À Faihay,Rendeux,Luxembourg Province,Wallonia,50.22127,5.50583,Section/lieu-dit
2796144,Affligem,Teralfene,Affligem,Flemish Brabant Province,Flanders,50.89195,4.09895,Section/lieu-dit
2803340,Affnay,Afnay,Dalhem,Liège Province,Wallonia,50.72616,5.77297,Section/lieu-dit
2803340,Afnai,Afnay,Dalhem,Liège Province,Wallonia,50.72616,5.77297,Section/lieu-dit
2803340,Afnay,Afnay,Dalhem,Liège Province,Wallonia,50.72616,5.77297,Section/lieu-dit
2803338,Afsne,Afsnee,Gent,East Flanders Province,Flanders,51.0317,3.66548,Section/lieu-dit
2803338,Afsné,Afsnee,Gent,East Flanders Province,Flanders,51.0317,3.66548,Section/lieu-dit
2803338,Afsnee,Afsnee,Gent,East Flanders Province,Flanders,51.0317,3.66548,Section/lieu-dit
2803337,Afst,Afst,Bullange,Liège Province,Wallonia,50.33707,6.37724,Section/lieu-dit
2803334,Agimont,Agimont,Hastière,Namur Province,Wallonia,50.1659,4.79579,Section/lieu-dit
2798949,agwzh,Éghezée,Éghezée,Namur Province,Wallonia,50.59076,4.91175,Commune
2803332,Aheree,Aherée,Walcourt,Namur Province,Wallonia,50.31766,4.50104,Section/lieu-dit
2803332,Aherée,Aherée,Walcourt,Namur Province,Wallonia,50.31766,4.50104,Section/lieu-dit
2803331,Ahin,Ben-Ahin,Arrondissement of Huy,Liège Province,Wallonia,50.50415,5.18683,Section/lieu-dit
2803330,Aiby,Aiby,Walcourt,Namur Province,Wallonia,50.25,4.35,Section/lieu-dit
2796037,ai er bo meng,Herbeumont,Herbeumont,Luxembourg Province,Wallonia,49.78086,5.2358,Commune
2798698,ai er ze,Érezée,Érezée,Luxembourg Province,Wallonia,50.29292,5.55815,Commune
2798551,ai fu hai mu,Evergem,Evergem,East Flanders Province,Flanders,51.10529,3.704,Commune
